"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/14648","MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","07-Sep-2026","A TO Z ASSOCIATES","Payment In-Progress","197500"
"2","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/205446","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","08-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","4000"
"3","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/230173","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"4","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/226930","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1125000"
"5","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP094/2025-2026/159378","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","11-Sep-2026","FORCE MOTORS LIMITED","Payment In-Progress","166693"
"6","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138282","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"7","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138283","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"8","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138284","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"9","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138285","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"10","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138286","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"11","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138290","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"12","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138287","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"13","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138289","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"14","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195366","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"15","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197651","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"16","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195355","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"17","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195354","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"18","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195375","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"19","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197653","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
